#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
1,Bitcoin BTC,"$25,124.24",-0.2%,-2.2%,-2.7%,"$14,018,227,823","$490,113,185,736","$528,287,816,824",0.93
2,Ethereum ETH,"$1,558.36",-0.1%,-3.1%,-4.2%,"$12,038,919,566","$187,561,407,014","$187,561,407,014",1.00
3,Tether USDT,$0.999250,-0.1%,-0.1%,-0.0%,"$22,325,200,082","$82,953,990,196","$82,953,990,196",1.00
4,BNB BNB,$206.41,-0.1%,-2.5%,-4.1%,"$479,414,758","$31,774,599,431","$41,304,295,514",0.77
5,USD Coin USDC,$0.999814,-0.1%,-0.0%,0.0%,"$6,064,125,081","$26,104,913,416","$26,104,606,472",1.00
6,XRP XRP,$0.471123,-0.0%,-5.0%,-6.3%,"$1,029,851,201","$25,024,401,671","$47,141,984,712",0.53
7,Lido Staked Ether STETH,"$1,557.20",-0.2%,-3.1%,-4.3%,"$24,739,575","$13,468,325,011","$13,468,325,011",1.00
8,Dogecoin DOGE,$0.060115142024,-0.1%,-1.9%,-4.5%,"$309,117,145","$8,475,688,384","$8,475,695,599",1.00
9,Cardano ADA,$0.241194,-0.2%,-2.2%,-5.9%,"$132,156,616","$8,457,445,713","$10,859,889,596",0.78
10,Solana SOL,$17.69,-0.5%,-1.5%,-8.7%,"$418,969,440","$7,272,208,412","$9,861,827,658",0.74
11,TRON TRX,$0.077505857383,-0.1%,-0.5%,0.5%,"$183,737,137","$6,919,783,658","$6,919,782,420",1.00
12,Toncoin TON,$1.63,-0.7%,-6.9%,-14.8%,"$19,564,435","$5,602,950,261","$8,292,475,854",0.68
13,Polkadot DOT,$4.00,-0.2%,-3.1%,-5.4%,"$154,253,995","$5,103,506,377","$5,427,743,897",0.94
14,Polygon MATIC,$0.501881,-0.3%,-3.0%,-8.5%,"$186,030,186","$4,677,229,999","$5,018,773,027",0.93
15,Litecoin LTC,$59.05,-0.5%,-2.6%,-7.1%,"$416,543,180","$4,350,637,751","$4,962,542,791",0.88
16,Shiba Inu SHIB,$0.000007092593,0.6%,-3.0%,-6.9%,"$132,285,407","$4,178,487,488","$7,090,111,013",0.59
17,Wrapped Bitcoin WBTC,"$25,139.41",-0.1%,-2.2%,-2.7%,"$75,929,023","$4,097,167,351","$4,097,167,351",1.00
18,Dai DAI,$1.00,0.0%,0.1%,0.1%,"$86,291,691","$3,838,014,907","$3,837,271,471",1.00
19,Bitcoin Cash BCH,$183.94,0.2%,-2.2%,-4.3%,"$136,902,468","$3,590,717,501","$3,866,677,457",0.93
20,Stellar XLM,$0.127528,-0.2%,-2.4%,3.4%,"$118,088,514","$3,514,944,658","$6,389,555,714",0.55
21,LEO Token LEO,$3.67,-0.4%,-3.5%,0.3%,"$396,741","$3,414,106,032","$3,619,416,115",0.94
22,Avalanche AVAX,$9.23,-0.3%,-2.4%,-6.2%,"$115,072,570","$3,266,661,046","$6,647,846,879",0.49
23,TrueUSD TUSD,$0.997761,0.0%,0.0%,-0.0%,"$517,649,105","$3,166,842,955","$3,159,861,888",1.00
